address,city,state
1925 Pacific Avenue,Atlantic City,NJ
94 Old Short Hills Road,Livingston,NJ
2101 Pease Street,Harlingen,TX
2900 W Oklahoma Ave,Milwaukee,WI
655 W 8th St,Jacksonville,FL
525 East 68th Street,New York,NY
677 Church Street NE,Marietta,GA
1 Robert Wood Johnson Place,New Brunswick,NJ
1900 Pine St,Abilene,TX
First Ave At 16th Street,New York,NY
100 Nicolls Rd,Stony Brook,NY
230 East Ridgewood Avenue,Paramus,NJ
451 Clarkson Avenue,Brooklyn,NY
743 Spring St NE,Gainesville,GA
759 Chestnut St,Springfield,MA
One Parkview Place,St. Louis,MO
5230 Centre Ave,Pittsburgh,PA
1350 Hickory St,Melbourne,FL
201 Lyons Ave,Newark,NJ
4802 10th Ave,Brooklyn,NY
99 Route 37 West,Toms River,NJ
6655 Alvarado Road,San Diego,CA
800 Washington Street,Boston,MA
1124 West 21st Street,Andover,KS
2601 Electric Avenue,Port Huron,MI
17201 Interstate 45 South,The Woodlands,TX
1475 W 49th St,Hialeah,FL
5645 W Addison St.,Chicago,IL
8929 Parallel Parkway,Kansas City,KS
2500 NE Neff Rd,Bend,OR
41870 Garstin Drive,Big Bear Lake,CA
1102 W 32nd St,Joplin,MO
1401 Foucher St,New Orleans,LA
250 Pleasant Street,Concord,NH
1 Medical Park,Wheeling,WV
333 Pine Ridge Blvd,Wausau,WI
450 Northside Cherokee Blvd,Canton,GA
1200 South Cedar Crest Blvd,Allentown,PA
200 Hawthorne Lane,Charlotte,NC
2830 Calder Avenue,Beaumont,TX
3300 Rivermont Avenue,Lynchburg,VA
300 Second Ave,Long Branch,NJ
809 University Boulevard East,Tuscaloosa,AL
1201 W Louis Henna Blvd,Austin,TX
25 Highland Avenue,Newburyport,MA
2185 Citracado Parkway,Escondido,CA
700 East Marshall Avenue,Longview,TX
1007 South William Street,Atlanta,TX
2669 Scenic Dr,Alamogordo,NM
44045 Riverside Pkwy,Leesburg,VA
303 N Clyde Morris Blvd,Daytona Beach,FL
4002 Vista Way,Oceanside,CA
1325 S Cliff Ave,Sioux Falls,SD
303 Parkway Drive Ne,Atlanta,GA
901 East 18th Street,Tifton,GA
3000 New Bern Avenue,Raleigh,NC
2425 Samaritan Dr,San Jose,CA
1901 Clinch Avenue,Knoxville,TN
2600 Saint Michael Drive,Texarkana,TX
9601 Baptist Health Drive,Little Rock,AR
211 4th St,Alexandria,LA
1 Hospital Dr,Columbia,MO
2300 Patterson St,Nashville,TN
4370 W Main St,Dothan,AL
1755 59th Pl,West Des Moines,IA
52 W Underwood St,Orlando,FL
3501 Johnson St,Hollywood,FL
2 Saint Vincent Cir,Little Rock,AR
1719 E 19th Ave,Denver,CO
5555 W Thunderbird Rd,Glendale,AZ
600 Elizabeth Street,Corpus Christi,TX
"710 Center St, Box 951",Columbus,GA
300 Pasteur Dr,Stanford,CA
600 Grant St,Gary,IN
5000 Hennessy Blvd,Baton Rouge,LA
350 W Thomas Rd,Phoenix,AZ
5 Mobile Infirmary Cir,Mobile,AL
79-01 Broadway,Elmhurst,NY
1324 Lakeland Hills Blvd,Lakeland,FL
700 NE 13th Street,Oklahoma City,OK
4077 5th Ave,San Diego,CA
200 Hawkins Dr.,Iowa City,IA
5200 Harroun Road,Sylvania,OH
30 Prospect Ave,Hackensack,NJ
401 Castle Creek Road,Aspen,CO
1717 Highway 59 Bypass,Livingston,TX
315 East Broadway,Louisville,KY
6420 Clayton Road,Saint Louis,MO
2701 W 68th Street,Chicago,IL
17101 N. Dallas Parkway,Addison,TX
2701 Dekalb Pike,Norristown,PA
500 15th Ave S,Great Falls,MT
1409 East Lake Mead Boulevard,North Las Vegas,NV
148 Chestnut Street,Needham,MA
37358 Market Place Drive,Prairieville,LA
1500 North Oakland Ave,Bolivar,MO
400 East Tenth Street,Anniston,AL
6325 Hospital Parkway,Johns Creek,GA
1959 NE Pacific St,Seattle,WA
55 Meadowlands Parkway,Secaucus,NJ
1350 East Market Street,Warren,OH
740 E State St,Sharon,PA
750 E Adams St,Syracuse,NY
12886 Troxler Avenue,Highland,IL
501 S Burma Ave,Gillette,WY
3600 NW Samaritan Dr,Corvallis,OR
830 Kempsville Road,Norfolk,VA
532 W Pittsburgh Street,Greensburg,PA
2400 West Friendly Avenue,Greensboro,NC
5750 East Baseline Road,Mesa,AZ
16815 W Bell Rd,Surprise,AZ
10 Woodland Rd.,St. Helena,CA
400 N McDowell Blvd,Petaluma,CA
"1731 Bunker Hill Road, Ne",Washington,DC
8 Prospect Street,Nashua,NH
3073 White Mountain Highway,North Conway,NH
181 Corliss Lane,Colebrook,NH
6019 Walnut Grove Road,Memphis,TN
480 Galleti Way,Sparks,NV
51 Blossom St,Boston,MA
601 Main St,Dunedin,FL
1001 Gause Blvd,Slidell,LA
170 N Eagle Creek Dr,Lexington,KY
2175 Rosaline Ave,Redding,CA
2550 Sister Mary Columba Drive,Red Bluff,CA
250 Bon Air Road,Greenbrae,CA
3401 Ludington St,Escanaba,MI
400 Health Park Blvd,Saint Augustine,FL
1065 Bucks Lake Road,Quincy,CA
616 E 13th St,Winamac,IN
5201 North Shore Drive,North Little Rock,AR
1015 Unity Road,Crossett,AR
6500 38th Ave N,St Petersburg,FL
3100 Douglas Rd,Coral Gables,FL
420 N Center St,Hickory,NC
65 W. Jimmie Leeds Road,Pomona,NJ
621 10th St,Niagara Falls,NY
1902 South U.S. Hwy 59,Parsons,KS
4305 New Shepherdsville Road,Bardstown,KY
1 Medical Center Boulevard,Cookeville,TN
1224 Trotwood Avenue,Columbia,TN
200 North Elm Street,Onamia,MN
5655 Frist Blvd,Hermitage,TN
1200 Jd Anderson Dr,Morgantown,WV
2095 Henry Tecklenburg Dr,Charleston,SC
2700 Walker Way,DeSoto,TX
2850 E Highway 114,Trophy Club,TX
2001 Doctors Dr,Springhill,LA
1 St. Mary Place,Shreveport,LA
13 Heyman Ln,Alexandria,LA
901 W Ben White Blvd,Austin,TX
1081 North China Lake Blvd.,Ridgecrest,CA
218 Corporate Drive,Houma,LA
254 Highway 3048,Rayville,LA
3630 E. Imperial Highway,Lynwood,CA
5700 East Highway 90,Sierra Vista,AZ
800 Meadows Rd,Boca Raton,FL
640 Jackson St,Saint Paul,MN
100 E Helen Street,Herington,KS
2000 Ogden Avenue,Aurora,IL
300 22nd Avenue,Brookings,SD
4601 McHugh Road,Zachary,LA
"4300 West Memorial Road, 2nd Fl.",Oklahoma City,OK
107 Governors Drive SW,Huntsville,AL
629 Dunn Street,Houma,LA
"5025 Keystone Blvd, Suite 200",Covington,LA
5400 Gibson Boulevard SE,Albuquerque,NM
4811 Ambassador Caffery Parkway,Lafayette,LA
2401 W University Ave ,Muncie,IN
1000 East Main Street,Danville,IN
215 Chisholm Trail,Jacksboro,TX
355 Ridge Ave,Evanston,IL
8050 Meadow Rd,Dallas,TX
701 North Broadway,Sleepy Hollow,NY
6701 N Charles St,Towson,MD
3995 South Cobb Drive Se,Smyrna,GA
4747 Arapahoe Avenue,Boulder,CO
2100 Wescott Drive,Flemington,NJ
438 W. Las Tunas Drive,San Gabriel,CA
400 S. 43rd Street,Renton,WA
1600 S. 20th Ave,Safford,AZ
1200 East Pecan Street,Altus,OK
"6500 Excelsior Blvd, Po Box 650",St Louis Park,MN
915 Gordon Ave,Thomasville,GA
2315 Stockton Boulevard,Sacramento,CA
2650 Ridge Ave,Evanston,IL
1915 E Rezanof Dr,Kodiak,AK
911 Meals Ave,Valdez,AK
1200 N Beaver St,Flagstaff,AZ
1111 E McDowell Road,Phoenix,AZ
801 West Maple Street,Farmington,NM
9500 Euclid Ave,Cleveland,OH
2200 E Show Low Lake Road,Show Low,AZ
30 13th St,Havre,MT
1304 Franklin Avenue,Normal,IL
801 Eastern Bypass,Richmond,KY
250 Hospital Place,Soldotna,AK
2010 Brookwood Medical Ctr Dr,Birmingham,AL
1200 Pleasant Street,Des Moines,IA
353 Fairmont Boulevard,Rapid City,SD
1 Barnes Jewish Hospital Plz,St. Louis,MO
1 Elliot Way,Manchester,NH
1 Children's Way,Little Rock,AR
110 Rehill Ave,Somerville,NJ
10030 Gilead Road,Huntersville,NC
1364 Clifton Road Ne,Atlanta,GA
5 Richland Medical Park Dr,Columbia,SC
300 Pinellas St,Clearwater,FL
225 N Jackson Ave,San Jose,CA
10101 Ridgegate Pkwy,Lone Tree,CO
4001 Dutchmans Lane,Louisville,KY
700 Chief Eddie Hoffman Highway,Bethel,AK
775 Fleischmann Way,Carson City,NV
1600 Medical Pkwy,Carson City,NV
25 Ridgewood Rd,Springfield,VT
3333 Burnet Avenue,Cincinnati,OH
8550 S Eastern Ave,Las Vegas ,NV
640 S Martin Luther King Blvd,Las Vegas,NV
5110 W Sahara Ave,Las Vegas,NV
2250 E Flamingo Rd,Las Vegas,NV
3021 W Horizon Ridge Pkwy,Henderson,NV
725 Horsepond Rd,Dover,DE
100 Rockford Dr,Newark,DE
1301 Punchbowl St,Honolulu,HI
501 W 14th St,Wilmington,DE
8303 Dodge Street,Omaha,NE
13710 St Francis Boulevard,Midlothian,VA
17065 S 71 Highway,Belton,MO
8230 North 1604 West,San Antonio,TX
806 Cupples Road,San Antonio,TX
26515 North Us Highway 281,San Antonio,TX
16977 I-35 North,Schertz,TX
10811 Town Center Drive,San Antonio,TX
16088 San Pedro Ave,San Antonio,TX
1401 W Seminole Blvd,Sanford,FL
1200 Northside Forsyth Drive,Cumming,GA
5000 Kentucky Route 321,Prestonsburg,KY
150 55th Street,Brooklyn,NY
2003 Kootenai Health Way,Coeur d'Alene,ID
1600 S 48th St,Lincoln,NE
201 West Layton Parkway,Layton,UT
101 West 8th Avenue,Spokane,WA
4440 W 95th Street,Oak Lawn,IL
5841 S Maryland Ave,Chicago,IL
300 Community Dr,Manhasset,NY
1924 Alcoa Highway,Knoxville,TN
3186 S Maryland Pkwy,Las Vegas,NV
7901 Frost St,San Diego,CA
7600 Beechnut Street,Houston,TX
8383 N Davis Hwy,Pensacola,FL
115 Mall Drive,Hanford,CA
1200 Old York Road,Abington,PA
9191 Grant St,Thornton,CO
2190 Highway 85 N,Niceville,FL
550 N Hillside St,Wichita,KS
20103 Lake Chabot Road,Castro Valley,CA
1111 Duff Ave,Ames,IA
2700 NW Stewart Pkwy,Roseburg,OR
410 Pilgrim Blvd,Hartford City,IN
2530 Debarr Rd,Anchorage,AK
4567 E 9th Ave,Denver,CO
101 E Ridge Rd,McAllen,TX
9330 State Road 54,Trinity,FL
11 Whitehall Rd,Rochester,NH
5501 S McColl Rd ,Edinburg,TX
1900 Silver Cross Blvd,New Lenox,IL
169 Ashley Avenue,Charleston,SC
7343 Clearvista Drive,Indianapolis,IN
201 W Center St,Rochester,MN
1 Tampa General Cir,Tampa,FL
1420 South Central Avenue,Glendale,CA
5501 Old York Road,Philadelphia,PA
1041 Dunlawton Ave,Port Orange,FL
80 Seymour Street,Hartford,CT
2401 South 31st Street,Temple,TX
3500 Gaston Avenue,Dallas,TX
600 Gresham Drive,Norfolk,VA
1000 North Lee Street,Oklahoma City,OK
1202 S Tyler St,Covington,LA
1 Akron General Ave,Akron,OH
6720 Bertner Ave,Houston ,TX
3615 19th Street,Lubbock,TX
615 South New Ballas Road,St. Louis,MO
3400 Spruce St,Philadelphia,PA
7700 Floyd Curl Dr,San Antonio,TX
99 Beauvoir Ave,Summit,NJ
101 Sivley SW Rd,Huntsville,AL
6411 Fannin St,Houston,TX
111 S Front Street,Harrisburg,PA
455 Silicon Valley Boulevard,San Jose,CA
1115 South Sunset Avenue,West Covina,CA
509 Biltmore Ave,Asheville,NC
320 East North Avenue,Pittsburgh,PA
350 Engle Street,Englewood,NJ
100 E 77th St,New York,NY
21214 Northwest Fwy,Cypress,TX
259 First Street,Mineola,NY
8900 N Kendall Dr,Miami,FL
701 Princeton Ave SW,Birmingham,AL
1401 St Joseph Parkway,Houston,TX
1400 E Irving Park Rd,Streamwood,IL
898 College Street,Monticello,GA
8200 Walnut Hill Ln,Dallas,TX
2525 S Downing St,Denver,CO
615 N Michigan St,South Bend,IN
1 Hospital Plaza,Old Bridge,NJ
1945 State Route 33,Neptune,NJ
5016 S US Highway 75,Denison,TX
1660 60th St,West Des Moines,IA
916 Pacific Avenue,Everett,WA
462 First Ave,New York,NY
"420 E 76th St, 2nd, 3rd, 4th & 5th Floors",New York,NY
3424 Kossuth Ave,Bronx,NY
1 S Bryant Ave,Edmond,OK
815 Pollard Road,Los Gatos,CA
95 Judge Tanner Blvd,Covington,LA
24440 Stone Springs Boulevard,Dulles,VA
4 Valley Health Plz,Paramus ,NJ
112 North 7th Street,Chambersburg,PA
18321 Clark St,Tarzana,CA
2157 Main St,Buffalo,NY
1201 South Grand Blvd,St. Louis,MO
1015 Bowles Ave,Fenton,MO
12303 De Paul Dr,Bridgeton,MO
300 1st Capitol Drive,St. Charles,MO
600 E 1st St,Spring Valley,IL
15225 Healthcote Blvd,Haymarket,VA
17 Lansing St,Auburn,NY
2651 East Discovery Parkway,Bloomington,IN
223 7th Street Ne,Washington,DC
"4601 Martin Luther King Jr. Avenue, Sw",Washington,DC
111 Michigan Ave NW,Washington,DC
452 Old Street Road,Peterborough,NH
535 South Humboldt Street,Batte Mtn,NV
4605 Maccorkle Ave Sw,South Charleston,WV
2900 1st Avenue,Huntington,WV
133 Fairfield St,St. Albans,VT
17 Belmont Ave,Brattleboro,VT
1215 Lee St,Charlottesville,VA
2525 Desales Ave,Chattanooga,TN
1265 Union Avenue,Memphis,TN
164 Summit Ave,Providence,RI
20 Powel Avenue,Newport,RI
593 Eddy St,Providence,RI
1 Saint Francis Dr,Greenville,SC
2720 Sunset Blvd,West Columbia,SC
101 E Wood St,Spartanburg,SC
 3188 Bellevue Ave,Cincinnati,OH
1 Parkland Dr,Derry,NH
855 Sixth Street,Lovelock,NV
1155 Mill Street,Reno,NV
501 Summit Street,Yankton,SD
305 S State St,Aberdeen,SD
801 Ostrum Street,Bethlehem,PA
111 S 11th St,Philadelphia,PA
1211 Medical Center Dr,Nashville,TN
3315 South Alameda St,Corpus Christi,TX
22999 Highway 59 N,Kingwood,TX
1801 N Oregon St,El Paso,TX
12221 N Mo Pac Expy,Austin,TX
4980 W. Sahara Avenue ,Las Vegas,NV
102 East Lake Mead Parkway,Henderson,NV
3001 Saint Rose Parkway,Henderson,NV
2930 Siena Heights Dr,Henderson,NV
1550 W Craig Rd,North Las Vegas,NV
4855 Blue Diamond Road,Las Vegas,NV
9880 West Flamingo Road,Las Vegas,NV
8280 W Warm Springs Rd,Las Vegas,NV
690 Edison Way,Reno,NV
100 High St,Buffalo,NY
1 Guthrie Drive,Corning,NY
818 Ellicott Street,Buffalo,NY
270-5 76th Avenue,New Hyde Park,NY
565 Abbott Rd,Buffalo,NY
118 East Haskell Street,Winnemucca,NV
1299 Bertha Howe Avenue,Mesquite,NV
3100 N Tenaya Way,Las Vegas,NV
9300 W Sunset Rd,Las Vegas,NV
640 S State St,Dover,DE
100 Wellness Way,Milford,DE
800 Prudential Dr,Jacksonville,FL
2200 Osprey Blvd,Bartow,FL
2020 59th St W,Bradenton,FL
900 N Robert Ave,Arcadia,FL
5731 Bee Ridge Road,Sarasota,FL
5301 S Congress Ave,Atlantis,FL
501 6th Avenue South ,Saint Petersburg,FL
340 NW Commerce Dr,Lake City,FL
1700 S Tamiami Trl,Sarasota,FL
4016 Sun City Center Blvd,Sun City Center,FL
301 N Alexander St,Plant City,FL
200 Ave F Ne,Winter Haven,FL
1968 Peachtree Rd NW,Atlanta,GA
190 East Bannock Street,Boise,ID
3815 Highland Ave,Downers Grove,IL
611 West Park Street,Urbana,IL
218 East Road,Hampstead,NH
550 University Blvd,Indianapolis,IN
4000 Cambridge St,Kansas City,KS
330 Brookline Ave,Boston,MA
22 S Greene Street,Baltimore,MD
300 Main St,Lewiston,ME
100 Michigan St Ne,Grand Rapids,MI
830 South Gloster,Tupelo,MS
900 E Broadway Ave,Bismarck,ND
826 West King Street,Owosso,MI
1135 Carthage Street,Sanford,NC
333 North Santa Rosa Street,San Antonio,TX
8535 Tom Slick Drive,San Antonio,TX
500 W Medical Center Blvd,Webster,TX
300 East Crocket Street,Cleveland,TX
311 Green Avenue,Palacios,TX
387 West I-10,Fort Stockton,TX
600 Austin Road,Eagle Lake,TX
200 East Arizona street,Sweetwater,TX
128 N. FM 3167,Rio Grande City,TX
200 South Geneva Street,Breckenridge,TX
2600 West Pleasant Run Road,Lancaster,TX
17750 Cali Drive,Houston,TX
7 Medical Parkway,Dallas,TX
1900 N. Higley Rd.,Gilbert,AZ
4801 Bissonnet Street,Bellaire,TX
115 W Silver Street,Westfield,MA
4845 Alameda Avenue,El Paso,TX
240 Highland Dr,Many,LA
"1500 Line Ave, Ste 206",Shreveport,LA
624 Hospital Drive,Mountain Home,AR
27 Park Street,Hyannis,MA
710 Cypress Creek Pkwy,Houston,TX
300 N Hospital Dr,Price,UT
2710 Rife Medical Lane,Rogers,AR
1204 Mound Street,Nacogdoches,TX
2600 North Highway 118 ,Alpine,TX
1700 Mount Vernon Ave,Bakersfield,CA
10200 NE 132nd Street,Kirkland,WA
401 Vanity Fair Lane,Butler,AL
13060 W. Bell Road ,Surprise,AZ
4001 J Street,Sacramento,CA
1800 North California Street,Stockton,CA
14200 E Arapahoe Rd,Centennial,CO
282 Washington St,Hartford,CT
215 West Janss Road,Thousand Oaks,CA
123 Summer St,Worcester,MA
3101 SW Sam Jackson Park Road,Portland,OR
20900 Biscayne Blvd,Aventura,FL
2626 Capital Medical Boulevard ,Tallahassee,FL
502 W Highland Blvd,Inverness,FL
700 Medical Blvd,Englewood,FL
21298 Olean Blvd,Port Charlotte,FL
1000 Mar Walt Dr,Fort Walton Beach,FL
449 West 23rd Street,Panama City,FL
119 Oakfield Dr,Brandon,FL
2901 W Swann Ave,Tampa,FL
3476 S University Dr,Davie,FL
7201 N University Dr,Tamarac,FL
2201 45th St,West Palm Beach,FL
11750 Bird Rd ,Miami,FL
201 14th St SW,Largo,FL
2025 Indian Rocks Rd S,Largo,FL
1700 S 23rd St,Fort Pierce,FL
3625 University Boulevard South,Jacksonville,FL
3663 S Miami Ave,Miami,FL
3100 S.W 62nd Ave,Miami,FL
6000 49th St N,Saint Petersburg,FL
2801 N State Road 7,Margate,FL
11375 Cortez Blvd,Brooksville,FL
1431 SW 1st Ave,Ocala,FL
2001 Kingsley Ave,Orange Park,FL
8300 Red Bug Lake Rd,Oviedo,FL
1501 Pasadena Ave S,Saint Petersburg,FL
13001 Southern Blvd,Loxahatchee,FL
325 Cypress Pkwy,Kissimmee,FL
611 Zeagler Dr,Palatka,FL
14000 Fivay Rd,Hudson,FL
1000 Medical Center Boulevard,Lawrenceville,GA
252 County Road 601,Belle Mead,NJ
6700 Lake Nona Boulevard,Orlando,FL
8201 W Broward Blvd,Plantation,FL
1199 Prince Avenue,Athens,GA
3651 Wheeler Rd,Augusta,GA
200 Industrial Blvd,Dublin,GA
1900 Tebeau St,Waycross,GA
3300 NW Expressway,Oklahoma City,OK
625 S Kentucky Street,Ashland,KS
202 S. Frisco,Coldwater,KS
605 N Main Street,Ellinwood,KS
800 W Meeting St,Lancaster,SC
1 Medical Park Dr,Chester,SC
2829 E Hwy 76,Mullins,SC
805 Pamplico Hwy,Florence,SC
310 Sunnyview Lane,Kalispell,MT
3901 S 7th St,Terre Haute,IN
65 James Street,Edison,NJ
727 North Beers Street,Holmdel,NJ
1202 East Locust Street,Emmett,ID
1907 W Sycamore St,Kokomo,IN
1400 Eastside Road,Platteville,WI
2221 West Elm Street,Rawlins,WY
4755 Ogletown Stanton Rd,Newark,DE
10500 Montgomery Road,Cincinnati,OH
5301 E Huron River Dr,Ypsilanti,MI
333 Borthwick Ave,Portsmouth,NH
17000 Medical Center Dr,Baton Rouge,LA
801 Middleford Rd,Seaford,DE
1017 W 7th St,Wray,CO
8700 Beverly Blvd,Los Angeles,CA
1201 Pleasant Valley Road,Owensboro,KY
114 Woodland Street,Hartford,CT
1102 St. Mary's Road,Junction City,KS
501 E Hampden Avenue,Englewood,CO
2375 E Prater Way,Sparks,NV
1515 Holcombe Boulevard,Houston,TX
3300 Halifax Crossing Boulevard,Deltona,FL
1330 Taylor St,Columbia,SC
1818 N Meade St,Appleton,WI
530 NE Glen Oak Ave,Peoria,IL
101 Saint Andrews Ln,Glen Cove,NY
2601 E Roosevelt Street,Phoenix,AZ
969 Lakeland Drive,Jackson,MS
1 Wyoming St,Dayton,OH
601 E Rollins St,Orlando,FL
2801 Debarr Road,Anchorage,AK
103 Fram Street,Petersburg,AK
347 Andrieux Street,Sonoma,CA
707 Sheridan Avenue,Cody,WY
6166 N Durango Drive,Las Vegas,NV
"2375 East Prater Way, 7th Floor",Sparks,NV
51 North 39th Street,Philadelphia,PA
424 Savannah Rd,Lewes,DE
801 South Washington,Naperville,IL
2500 North State Street,Jackson,MS
601 West Leota St,North Platte,NE
3700 South Main Street,Blacksburg,VA
5721 W 119th St,Overland Park,KS
2701 N Decatur Road,Decatur,GA
601 North Elm Street,High Point,NC
101 Avenue J,Anson,TX
1600 West Antelope Drive,Layton,UT
One Medical Plaza,Pampa,TX
1313 Hermann Dr.,Houston,TX
757 Westwood Plz,Los Angeles,CA
1171 W. Target Range Road,Nogales,AZ
411 Main Street,Columbia,LA
24 Norris Street,Eureka Springs,AR
1520 North Division Street,Blytheville,AR
101 Hospital Drive,Magnolia,AR
1011 14th Avenue Nw,Ardmore,OK
306 Shorter Avenue,Rome,GA
55 Fogg Road,South Weymouth,MA
500 Sw Ramsey Avenue,Grants Pass,OR
100 Madison Avenue,Morristown,NJ
1 Cooper Plaza,Camden,NJ
9100 W 74th Street,Merriam,KS
4320 Seminary Rd,Alexandria,VA
3600 Joseph Siewick Drive,Fairfax,VA
2501 Parkers Lane,Alexandria,VA
2010 Health Campus Drive,Harrisonburg,VA
2500 S Woodworth Loop,Palmer,AK
810 Saint Vincent's Drive,Birmingham,AL
44 South Main St,Randolph,VT
1 Promedica Parkway,Toledo,OH
10101 Double R Blvd,Reno,NV
2305 37th Ave SW,Minot,ND
70 Dubois St,Newburgh,NY
405 Stageline Road,Hudson,WI
8050 Township Line Rd,Indianapolis,IN
3501 Knickerbocker Road,San Angelo,TX
18600 North Hardy Oak Boulevard,San Antonio,TX
6130 Parkway Drive,Corpus Christi,TX
701 SE 5th Street,Knox City,TX
5601 De Soto Avenue,Woodland Hills,CA
7300 Medical Center Drive,West Hills,CA
1501 S Potomac St,Aurora,CO
1825 Logan Avenue,Waterloo,IA
210 Fourth Avenue,Grinnell,IA
700 West Oak Street,Kissimmee,FL
111 South 5th Street,Douglas,WY
1653W Congress Pkwy,Chicago,IL
924 Howe St,Southport,NC
9330 Medical Plaza Dr,Charleston,SC
222 West 39th Avenue,San Mateo,CA
7850 Vista Hill Avenue,San Diego,CA
3033 West Orange Avenue,Anaheim,CA
43 New Scotland Ave,Albany,NY
489 State Street,Bangor,ME
155 E Brush Hill Rd,Elmhurst,IL
4300 Bartlett Street,Homer,AK
1930 E Thomas Rd,Phoenix,AZ
18701 N. 67th Avenue,Glendale,AZ
3929 East Bell Road,Phoenix,AZ
13677 W Mcdowell Rd,Goodyear,AZ
4620 E. Baseline Road,Mesa,AZ
1155 Mill St,Reno,NV
80 Highland Street,Laconia,NH
3800 Reservoir Road NW,Washington,DC
102 Irving Street NW,Washington,DC
110 Irving Street NW,Washington,DC
1310 Southern Avenue SE,Washington ,DC
701 N Clayton St,Wilmington,DE
1 Shircliff Way,Jacksonville,FL
4201 Belfort Rd,Jacksonville,FL
5352 Linton Blvd,Delray Beach,FL
1600 SW Archer Road,Gainesville,FL
80 Jesse Hill Jr Dr SE,Atlanta,GA
800 North Justice Street,Hendersonville,NC
4420 Lake Boone Trail,Raleigh,NC
15 Aiken Ave,Franklin,NH
1035 116th Ave Ne,Bellevue,WA
3131 University Drive East,Bryan,TX
2500 Bellevue Medical Center Dr,Bellevue,NE
401 E Vaughn Ave,Ruston,LA
4608 Highway 1,Raceland,LA
810 South Broadway Street,Church Point,LA
2390 West Congress St,Lafayette,LA
638 California Avenue SW,Camden,AR
309 West Beverly Boulevard,Montebello,CA
520 N Third Ave,Sandpoint,ID
1015 Union St,Boone,IA
1501 East Tenth Street,Atlantic,IA
210 West 1st Street,St Francis,KS
845 Jackson Street,San Francisco,CA
250 W. 9th Street,Hoisington,KS
100 Medical Parkway,Denison,IA
1314 East Walnut St,Washington,IN
810 W Columbia Street,Oberlin,KS
720 N Lincoln St,Greensburg,IN
903 S Adams St,Ritzville,WA
336 N Hood St,Lake Providence,LA
1415 Ross Avenue,El Centro,CA
800 11th Street,Charles City,IA
530 Bogachiel Way,Forks,WA
300 Canal Street,King City,CA
304 West Prout Street,Hill City,KS
300 West Good Samaritan Drive,Warren,MN
240 Spruce Street,Gridley,CA
402 North Maple St,Osmond,NE
315 N 14th Ave,Othello,WA
9449 San Fernando Road,Sun Valley,CA
225 Eagle Crest Drive,Rangely,CO
107 Swift Street,Refugio,TX
1100 West 2nd ,Oshkosh,NE
